sk_cliente,codigo_cliente,nome_cliente,sexo,faixa_etaria,renda_faixa,estado,cidade,bairro,canal_preferido,data_cadastro,cliente_ativo,cliente_flag
23,CLI0000023,Daniela Santos,Masculino,35-44,20+ SM,PR,Ribeirão Preto,Butantã,WhatsApp,2019-09-11,0,0
24,CLI0000024,Eduardo Pereira,Feminino,45-54,Até 2 SM,SC,São Paulo,Lapa,Loja Física,2019-09-22,1,True
25,CLI0000025,Fernanda Lima,Masculino,55-64,2 a 4 SM,RS,Rio de Janeiro,Liberdade,App,2019-10-03,1,True
26,CLI0000026,Gabriel Costa,Feminino,65+,4 a 8 SM,BA,Belo Horizonte,Saúde,Site,2019-10-14,1,True
27,CLI0000027,Helena Almeida,Masculino,65+,8 a 12 SM,GO,Campinas,Morumbi,WhatsApp,2019-10-25,1,True
28,CLI0000028,Igor Ribeiro,Feminino,18-24,12 a 20 SM,PE,Curitiba,Perdizes,Loja Física,2019-11-05,1,True
29,CLI0000029,Juliana Carvalho,Masculino,25-34,20+ SM,CE,Porto Alegre,Bela Vista,App,2019-11-16,1,True
30,CLI0000030,Karina Gomes,Feminino,35-44,Até 2 SM,SP,Salvador,Centro,Site,2019-11-27,1,True
31,CLI0000031,Lucas Martins,Masculino,45-54,2 a 4 SM,RJ,Goiânia,Jardins,WhatsApp,2019-12-08,1,True
32,CLI0000032,Mariana Rocha,Feminino,55-64,4 a 8 SM,MG,Recife,Moema,Loja Física,2019-12-19,1,True
33,CLI0000033,Nicolas Dias,Masculino,65+,8 a 12 SM,PR,Fortaleza,Tatuapé,App,2019-12-30,1,True
34,CLI0000034,Patrícia Araujo,Feminino,65+,12 a 20 SM,SC,Santos,Pinheiros,Site,2020-01-10,1,True
35,CLI0000035,Rafael Barbosa,Masculino,18-24,20+ SM,RS,Ribeirão Preto,Vila Mariana,WhatsApp,2020-01-21,1,True
36,CLI0000036,Sabrina Moura,Feminino,25-34,Até 2 SM,BA,São Paulo,Santana,Loja Física,2020-02-01,1,True
37,CLI0000037,Thiago Freitas,Masculino,35-44,2 a 4 SM,GO,Rio de Janeiro,Ipiranga,App,2020-02-12,1,True
38,CLI0000038,Vanessa Mendes,Feminino,45-54,4 a 8 SM,PE,Belo Horizonte,Butantã,Site,2020-02-23,1,True
39,CLI0000039,William Teixeira,Masculino,55-64,8 a 12 SM,CE,Campinas,Lapa,WhatsApp,2020-03-05,1,True
40,CLI0000040,Ana Silva,Feminino,65+,12 a 20 SM,SP,Curitiba,Liberdade,Loja Física,2020-03-16,1,True
41,CLI0000041,Bruno Souza,Masculino,65+,20+ SM,RJ,Porto Alegre,Saúde,App,2020-03-27,1,True
42,CLI0000042,Carlos Oliveira,Feminino,18-24,Até 2 SM,MG,Salvador,Morumbi,Site,2020-04-07,1,True
43,CLI0000043,Daniela Santos,Masculino,25-34,2 a 4 SM,PR,Goiânia,Perdizes,WhatsApp,2020-04-18,1,True
44,CLI0000044,Eduardo Pereira,Feminino,35-44,4 a 8 SM,SC,Recife,Bela Vista,Loja Física,2020-04-29,1,True
45,CLI0000045,Fernanda Lima,Masculino,45-54,8 a 12 SM,RS,Fortaleza,Centro,App,2020-05-10,1,True
46,CLI0000046,Gabriel Costa,Feminino,55-64,12 a 20 SM,BA,Santos,Jardins,Site,2020-05-21,0,0
47,CLI0000047,Helena Almeida,Masculino,65+,20+ SM,GO,Ribeirão Preto,Moema,WhatsApp,2020-06-01,1,True
48,CLI0000048,Igor Ribeiro,Feminino,65+,Até 2 SM,PE,São Paulo,Tatuapé,Loja Física,2020-06-12,1,True
49,CLI0000049,Juliana Carvalho,Masculino,18-24,2 a 4 SM,CE,Rio de Janeiro,Pinheiros,App,2020-06-23,1,True
50,CLI0000050,Karina Gomes,Feminino,25-34,4 a 8 SM,SP,Belo Horizonte,Vila Mariana,Site,2020-07-04,1,True
51,CLI0000051,Lucas Martins,Masculino,35-44,8 a 12 SM,RJ,Campinas,Santana,WhatsApp,2020-07-15,1,True
52,CLI0000052,Mariana Rocha,Feminino,45-54,12 a 20 SM,MG,Curitiba,Ipiranga,Loja Física,2020-07-26,1,True
53,CLI0000053,Nicolas Dias,Masculino,55-64,20+ SM,PR,Porto Alegre,Butantã,App,2020-08-06,1,True
54,CLI0000054,Patrícia Araujo,Feminino,65+,Até 2 SM,SC,Salvador,Lapa,Site,2020-08-17,1,True
55,CLI0000055,Rafael Barbosa,Masculino,65+,2 a 4 SM,RS,Goiânia,Liberdade,WhatsApp,2020-08-28,1,True
56,CLI0000056,Sabrina Moura,Feminino,18-24,4 a 8 SM,BA,Recife,Saúde,Loja Física,2020-09-08,1,True
57,CLI0000057,Thiago Freitas,Masculino,25-34,8 a 12 SM,GO,Fortaleza,Morumbi,App,2020-09-19,1,True
58,CLI0000058,Vanessa Mendes,Feminino,35-44,12 a 20 SM,PE,Santos,Perdizes,Site,2020-09-30,1,True
59,CLI0000059,William Teixeira,Masculino,45-54,20+ SM,CE,Ribeirão Preto,Bela Vista,WhatsApp,2020-10-11,1,True
60,CLI0000060,Ana Silva,Feminino,55-64,Até 2 SM,SP,São Paulo,Centro,Loja Física,2020-10-22,1,True
61,CLI0000061,Bruno Souza,Masculino,65+,2 a 4 SM,RJ,Rio de Janeiro,Jardins,App,2020-11-02,1,True
62,CLI0000062,Carlos Oliveira,Feminino,65+,4 a 8 SM,MG,Belo Horizonte,Moema,Site,2020-11-13,1,True
63,CLI0000063,Daniela Santos,Masculino,18-24,8 a 12 SM,PR,Campinas,Tatuapé,WhatsApp,2020-11-24,1,True
64,CLI0000064,Eduardo Pereira,Feminino,25-34,12 a 20 SM,SC,Curitiba,Pinheiros,Loja Física,2020-12-05,1,True
65,CLI0000065,Fernanda Lima,Masculino,35-44,20+ SM,RS,Porto Alegre,Vila Mariana,App,2020-12-16,1,True
66,CLI0000066,Gabriel Costa,Feminino,45-54,Até 2 SM,BA,Salvador,Santana,Site,2020-12-27,1,True
67,CLI0000067,Helena Almeida,Masculino,55-64,2 a 4 SM,GO,Goiânia,Ipiranga,WhatsApp,2021-01-07,1,True
68,CLI0000068,Igor Ribeiro,Feminino,65+,4 a 8 SM,PE,Recife,Butantã,Loja Física,2021-01-18,1,True
69,CLI0000069,Juliana Carvalho,Masculino,65+,8 a 12 SM,CE,Fortaleza,Lapa,App,2021-01-29,0,0
70,CLI0000070,Karina Gomes,Feminino,18-24,12 a 20 SM,SP,Santos,Liberdade,Site,2021-02-09,1,True
71,CLI0000071,Lucas Martins,Masculino,25-34,20+ SM,RJ,Ribeirão Preto,Saúde,WhatsApp,2021-02-20,1,True
72,CLI0000072,Mariana Rocha,Feminino,35-44,Até 2 SM,MG,São Paulo,Morumbi,Loja Física,2021-03-03,1,True
73,CLI0000073,Nicolas Dias,Masculino,45-54,2 a 4 SM,PR,Rio de Janeiro,Perdizes,App,2021-03-14,1,True
74,CLI0000074,Patrícia Araujo,Feminino,55-64,4 a 8 SM,SC,Belo Horizonte,Bela Vista,Site,2021-03-25,1,True
75,CLI0000075,Rafael Barbosa,Masculino,65+,8 a 12 SM,RS,Campinas,Centro,WhatsApp,2021-04-05,1,True
76,CLI0000076,Sabrina Moura,Feminino,65+,12 a 20 SM,BA,Curitiba,Jardins,Loja Física,2021-04-16,1,True
77,CLI0000077,Thiago Freitas,Masculino,18-24,20+ SM,GO,Porto Alegre,Moema,App,2021-04-27,1,True
78,CLI0000078,Vanessa Mendes,Feminino,25-34,Até 2 SM,PE,Salvador,Tatuapé,Site,2021-05-08,1,True
79,CLI0000079,William Teixeira,Masculino,35-44,2 a 4 SM,CE,Goiânia,Pinheiros,WhatsApp,2021-05-19,1,True
80,CLI0000080,Ana Silva,Feminino,45-54,4 a 8 SM,SP,Recife,Vila Mariana,Loja Física,2021-05-30,1,True
81,CLI0000081,Bruno Souza,Masculino,55-64,8 a 12 SM,RJ,Fortaleza,Santana,App,2021-06-10,1,True
82,CLI0000082,Carlos Oliveira,Feminino,65+,12 a 20 SM,MG,Santos,Ipiranga,Site,2021-06-21,1,True
83,CLI0000083,Daniela Santos,Masculino,65+,20+ SM,PR,Ribeirão Preto,Butantã,WhatsApp,2021-07-02,1,True
84,CLI0000084,Eduardo Pereira,Feminino,18-24,Até 2 SM,SC,São Paulo,Lapa,Loja Física,2021-07-13,1,True
85,CLI0000085,Fernanda Lima,Masculino,25-34,2 a 4 SM,RS,Rio de Janeiro,Liberdade,App,2021-07-24,1,True
86,CLI0000086,Gabriel Costa,Feminino,35-44,4 a 8 SM,BA,Belo Horizonte,Saúde,Site,2021-08-04,1,True
87,CLI0000087,Helena Almeida,Masculino,45-54,8 a 12 SM,GO,Campinas,Morumbi,WhatsApp,2021-08-15,1,True
88,CLI0000088,Igor Ribeiro,Feminino,55-64,12 a 20 SM,PE,Curitiba,Perdizes,Loja Física,2021-08-26,1,True
89,CLI0000089,Juliana Carvalho,Masculino,65+,20+ SM,CE,Porto Alegre,Bela Vista,App,2021-09-06,1,True
90,CLI0000090,Karina Gomes,Feminino,65+,Até 2 SM,SP,Salvador,Centro,Site,2021-09-17,1,True
91,CLI0000091,Lucas Martins,Masculino,18-24,2 a 4 SM,RJ,Goiânia,Jardins,WhatsApp,2021-09-28,1,True
92,CLI0000092,Mariana Rocha,Feminino,25-34,4 a 8 SM,MG,Recife,Moema,Loja Física,2021-10-09,0,0
93,CLI0000093,Nicolas Dias,Masculino,35-44,8 a 12 SM,PR,Fortaleza,Tatuapé,App,2021-10-20,1,True
94,CLI0000094,Patrícia Araujo,Feminino,45-54,12 a 20 SM,SC,Santos,Pinheiros,Site,2021-10-31,1,True
95,CLI0000095,Rafael Barbosa,Masculino,55-64,20+ SM,RS,Ribeirão Preto,Vila Mariana,WhatsApp,2021-11-11,1,True
96,CLI0000096,Sabrina Moura,Feminino,65+,Até 2 SM,BA,São Paulo,Santana,Loja Física,2021-11-22,1,True
97,CLI0000097,Thiago Freitas,Masculino,65+,2 a 4 SM,GO,Rio de Janeiro,Ipiranga,App,2021-12-03,1,True
98,CLI0000098,Vanessa Mendes,Feminino,18-24,4 a 8 SM,PE,Belo Horizonte,Butantã,Site,2021-12-14,1,True
99,CLI0000099,William Teixeira,Masculino,25-34,8 a 12 SM,CE,Campinas,Lapa,WhatsApp,2021-12-25,1,True
100,CLI0000100,Ana Silva,Feminino,35-44,12 a 20 SM,SP,Curitiba,Liberdade,Loja Física,2022-01-05,1,True
101,CLI0000101,Bruno Souza,Masculino,45-54,20+ SM,RJ,Porto Alegre,Saúde,App,2022-01-16,1,True
102,CLI0000102,Carlos Oliveira,Feminino,55-64,Até 2 SM,MG,Salvador,Morumbi,Site,2022-01-27,1,True
103,CLI0000103,Daniela Santos,Masculino,65+,2 a 4 SM,PR,Goiânia,Perdizes,WhatsApp,2022-02-07,1,True
104,CLI0000104,Eduardo Pereira,Feminino,65+,4 a 8 SM,SC,Recife,Bela Vista,Loja Física,2022-02-18,1,True
105,CLI0000105,Fernanda Lima,Masculino,18-24,8 a 12 SM,RS,Fortaleza,Centro,App,2022-03-01,1,True
106,CLI0000106,Gabriel Costa,Feminino,25-34,12 a 20 SM,BA,Santos,Jardins,Site,2022-03-12,1,True
107,CLI0000107,Helena Almeida,Masculino,35-44,20+ SM,GO,Ribeirão Preto,Moema,WhatsApp,2022-03-23,1,True
108,CLI0000108,Igor Ribeiro,Feminino,45-54,Até 2 SM,PE,São Paulo,Tatuapé,Loja Física,2022-04-03,1,True
109,CLI0000109,Juliana Carvalho,Masculino,55-64,2 a 4 SM,CE,Rio de Janeiro,Pinheiros,App,2022-04-14,1,True
110,CLI0000110,Karina Gomes,Feminino,65+,4 a 8 SM,SP,Belo Horizonte,Vila Mariana,Site,2022-04-25,1,True
111,CLI0000111,Lucas Martins,Masculino,65+,8 a 12 SM,RJ,Campinas,Santana,WhatsApp,2022-05-06,1,True
112,CLI0000112,Mariana Rocha,Feminino,18-24,12 a 20 SM,MG,Curitiba,Ipiranga,Loja Física,2022-05-17,1,True
113,CLI0000113,Nicolas Dias,Masculino,25-34,20+ SM,PR,Porto Alegre,Butantã,App,2022-05-28,1,True
114,CLI0000114,Patrícia Araujo,Feminino,35-44,Até 2 SM,SC,Salvador,Lapa,Site,2022-06-08,1,True
115,CLI0000115,Rafael Barbosa,Masculino,45-54,2 a 4 SM,RS,Goiânia,Liberdade,WhatsApp,2022-06-19,0,0
116,CLI0000116,Sabrina Moura,Feminino,55-64,4 a 8 SM,BA,Recife,Saúde,Loja Física,2022-06-30,1,True
117,CLI0000117,Thiago Freitas,Masculino,65+,8 a 12 SM,GO,Fortaleza,Morumbi,App,2022-07-11,1,True
118,CLI0000118,Vanessa Mendes,Feminino,65+,12 a 20 SM,PE,Santos,Perdizes,Site,2022-07-22,1,True
119,CLI0000119,William Teixeira,Masculino,18-24,20+ SM,CE,Ribeirão Preto,Bela Vista,WhatsApp,2022-08-02,1,True
120,CLI0000120,Ana Silva,Feminino,25-34,Até 2 SM,SP,São Paulo,Centro,Loja Física,2022-08-13,1,True
121,CLI0000121,Bruno Souza,Masculino,35-44,2 a 4 SM,RJ,Rio de Janeiro,Jardins,App,2022-08-24,1,True
122,CLI0000122,Carlos Oliveira,Feminino,45-54,4 a 8 SM,MG,Belo Horizonte,Moema,Site,2022-09-04,1,True
123,CLI0000123,Daniela Santos,Masculino,55-64,8 a 12 SM,PR,Campinas,Tatuapé,WhatsApp,2022-09-15,1,True
124,CLI0000124,Eduardo Pereira,Feminino,65+,12 a 20 SM,SC,Curitiba,Pinheiros,Loja Física,2022-09-26,1,True
125,CLI0000125,Fernanda Lima,Masculino,65+,20+ SM,RS,Porto Alegre,Vila Mariana,App,2022-10-07,1,True
126,CLI0000126,Gabriel Costa,Feminino,18-24,Até 2 SM,BA,Salvador,Santana,Site,2022-10-18,1,True
127,CLI0000127,Helena Almeida,Masculino,25-34,2 a 4 SM,GO,Goiânia,Ipiranga,WhatsApp,2022-10-29,1,True
128,CLI0000128,Igor Ribeiro,Feminino,35-44,4 a 8 SM,PE,Recife,Butantã,Loja Física,2022-11-09,1,True
129,CLI0000129,Juliana Carvalho,Masculino,45-54,8 a 12 SM,CE,Fortaleza,Lapa,App,2022-11-20,1,True
130,CLI0000130,Karina Gomes,Feminino,55-64,12 a 20 SM,SP,Santos,Liberdade,Site,2022-12-01,1,True
131,CLI0000131,Lucas Martins,Masculino,65+,20+ SM,RJ,Ribeirão Preto,Saúde,WhatsApp,2022-12-12,1,True
132,CLI0000132,Mariana Rocha,Feminino,65+,Até 2 SM,MG,São Paulo,Morumbi,Loja Física,2022-12-23,1,True
133,CLI0000133,Nicolas Dias,Masculino,18-24,2 a 4 SM,PR,Rio de Janeiro,Perdizes,App,2023-01-03,1,True
134,CLI0000134,Patrícia Araujo,Feminino,25-34,4 a 8 SM,SC,Belo Horizonte,Bela Vista,Site,2023-01-14,1,True
135,CLI0000135,Rafael Barbosa,Masculino,35-44,8 a 12 SM,RS,Campinas,Centro,WhatsApp,2023-01-25,1,True
136,CLI0000136,Sabrina Moura,Feminino,45-54,12 a 20 SM,BA,Curitiba,Jardins,Loja Física,2023-02-05,1,True
137,CLI0000137,Thiago Freitas,Masculino,55-64,20+ SM,GO,Porto Alegre,Moema,App,2023-02-16,1,True
138,CLI0000138,Vanessa Mendes,Feminino,65+,Até 2 SM,PE,Salvador,Tatuapé,Site,2023-02-27,0,0
139,CLI0000139,William Teixeira,Masculino,65+,2 a 4 SM,CE,Goiânia,Pinheiros,WhatsApp,2023-03-10,1,True
140,CLI0000140,Ana Silva,Feminino,18-24,4 a 8 SM,SP,Recife,Vila Mariana,Loja Física,2023-03-21,1,True
141,CLI0000141,Bruno Souza,Masculino,25-34,8 a 12 SM,RJ,Fortaleza,Santana,App,2023-04-01,1,True
142,CLI0000142,Carlos Oliveira,Feminino,35-44,12 a 20 SM,MG,Santos,Ipiranga,Site,2023-04-12,1,True
143,CLI0000143,Daniela Santos,Masculino,45-54,20+ SM,PR,Ribeirão Preto,Butantã,WhatsApp,2023-04-23,1,True
144,CLI0000144,Eduardo Pereira,Feminino,55-64,Até 2 SM,SC,São Paulo,Lapa,Loja Física,2023-05-04,1,True
145,CLI0000145,Fernanda Lima,Masculino,65+,2 a 4 SM,RS,Rio de Janeiro,Liberdade,App,2023-05-15,1,True
146,CLI0000146,Gabriel Costa,Feminino,65+,4 a 8 SM,BA,Belo Horizonte,Saúde,Site,2023-05-26,1,True
147,CLI0000147,Helena Almeida,Masculino,18-24,8 a 12 SM,GO,Campinas,Morumbi,WhatsApp,2023-06-06,1,True
148,CLI0000148,Igor Ribeiro,Feminino,25-34,12 a 20 SM,PE,Curitiba,Perdizes,Loja Física,2023-06-17,1,True
149,CLI0000149,Juliana Carvalho,Masculino,35-44,20+ SM,CE,Porto Alegre,Bela Vista,App,2023-06-28,1,True
150,CLI0000150,Karina Gomes,Feminino,45-54,Até 2 SM,SP,Salvador,Centro,Site,2023-07-09,1,True
151,CLI0000151,Lucas Martins,Masculino,55-64,2 a 4 SM,RJ,Goiânia,Jardins,WhatsApp,2023-07-20,1,True
152,CLI0000152,Mariana Rocha,Feminino,65+,4 a 8 SM,MG,Recife,Moema,Loja Física,2023-07-31,1,True
153,CLI0000153,Nicolas Dias,Masculino,65+,8 a 12 SM,PR,Fortaleza,Tatuapé,App,2023-08-11,1,True
154,CLI0000154,Patrícia Araujo,Feminino,18-24,12 a 20 SM,SC,Santos,Pinheiros,Site,2023-08-22,1,True
155,CLI0000155,Rafael Barbosa,Masculino,25-34,20+ SM,RS,Ribeirão Preto,Vila Mariana,WhatsApp,2023-09-02,1,True
156,CLI0000156,Sabrina Moura,Feminino,35-44,Até 2 SM,BA,São Paulo,Santana,Loja Física,2023-09-13,1,True
157,CLI0000157,Thiago Freitas,Masculino,45-54,2 a 4 SM,GO,Rio de Janeiro,Ipiranga,App,2023-09-24,1,True
158,CLI0000158,Vanessa Mendes,Feminino,55-64,4 a 8 SM,PE,Belo Horizonte,Butantã,Site,2023-10-05,1,True
159,CLI0000159,William Teixeira,Masculino,65+,8 a 12 SM,CE,Campinas,Lapa,WhatsApp,2023-10-16,1,True
160,CLI0000160,Ana Silva,Feminino,65+,12 a 20 SM,SP,Curitiba,Liberdade,Loja Física,2023-10-27,1,True
161,CLI0000161,Bruno Souza,Masculino,18-24,20+ SM,RJ,Porto Alegre,Saúde,App,2023-11-07,0,0
162,CLI0000162,Carlos Oliveira,Feminino,25-34,Até 2 SM,MG,Salvador,Morumbi,Site,2023-11-18,1,True
163,CLI0000163,Daniela Santos,Masculino,35-44,2 a 4 SM,PR,Goiânia,Perdizes,WhatsApp,2023-11-29,1,True
164,CLI0000164,Eduardo Pereira,Feminino,45-54,4 a 8 SM,SC,Recife,Bela Vista,Loja Física,2023-12-10,1,True
165,CLI0000165,Fernanda Lima,Masculino,55-64,8 a 12 SM,RS,Fortaleza,Centro,App,2023-12-21,1,True
166,CLI0000166,Gabriel Costa,Feminino,65+,12 a 20 SM,BA,Santos,Jardins,Site,2024-01-01,1,True
167,CLI0000167,Helena Almeida,Masculino,65+,20+ SM,GO,Ribeirão Preto,Moema,WhatsApp,2024-01-12,1,True
168,CLI0000168,Igor Ribeiro,Feminino,18-24,Até 2 SM,PE,São Paulo,Tatuapé,Loja Física,2024-01-23,1,True
169,CLI0000169,Juliana Carvalho,Masculino,25-34,2 a 4 SM,CE,Rio de Janeiro,Pinheiros,App,2024-02-03,1,True
170,CLI0000170,Karina Gomes,Feminino,35-44,4 a 8 SM,SP,Belo Horizonte,Vila Mariana,Site,2024-02-14,1,True
171,CLI0000171,Lucas Martins,Masculino,45-54,8 a 12 SM,RJ,Campinas,Santana,WhatsApp,2024-02-25,1,True
172,CLI0000172,Mariana Rocha,Feminino,55-64,12 a 20 SM,MG,Curitiba,Ipiranga,Loja Física,2024-03-07,1,True
173,CLI0000173,Nicolas Dias,Masculino,65+,20+ SM,PR,Porto Alegre,Butantã,App,2024-03-18,1,True
174,CLI0000174,Patrícia Araujo,Feminino,65+,Até 2 SM,SC,Salvador,Lapa,Site,2024-03-29,1,True
175,CLI0000175,Rafael Barbosa,Masculino,18-24,2 a 4 SM,RS,Goiânia,Liberdade,WhatsApp,2024-04-09,1,True
176,CLI0000176,Sabrina Moura,Feminino,25-34,4 a 8 SM,BA,Recife,Saúde,Loja Física,2024-04-20,1,True
177,CLI0000177,Thiago Freitas,Masculino,35-44,8 a 12 SM,GO,Fortaleza,Morumbi,App,2024-05-01,1,True
178,CLI0000178,Vanessa Mendes,Feminino,45-54,12 a 20 SM,PE,Santos,Perdizes,Site,2024-05-12,1,True
179,CLI0000179,William Teixeira,Masculino,55-64,20+ SM,CE,Ribeirão Preto,Bela Vista,WhatsApp,2024-05-23,1,True
180,CLI0000180,Ana Silva,Feminino,65+,Até 2 SM,SP,São Paulo,Centro,Loja Física,2024-06-03,1,True
181,CLI0000181,Bruno Souza,Masculino,65+,2 a 4 SM,RJ,Rio de Janeiro,Jardins,App,2024-06-14,1,True
182,CLI0000182,Carlos Oliveira,Feminino,18-24,4 a 8 SM,MG,Belo Horizonte,Moema,Site,2024-06-25,1,True
183,CLI0000183,Daniela Santos,Masculino,25-34,8 a 12 SM,PR,Campinas,Tatuapé,WhatsApp,2024-07-06,1,True
184,CLI0000184,Eduardo Pereira,Feminino,35-44,12 a 20 SM,SC,Curitiba,Pinheiros,Loja Física,2024-07-17,0,0
185,CLI0000185,Fernanda Lima,Masculino,45-54,20+ SM,RS,Porto Alegre,Vila Mariana,App,2024-07-28,1,True
186,CLI0000186,Gabriel Costa,Feminino,55-64,Até 2 SM,BA,Salvador,Santana,Site,2024-08-08,1,True
187,CLI0000187,Helena Almeida,Masculino,65+,2 a 4 SM,GO,Goiânia,Ipiranga,WhatsApp,2024-08-19,1,True
188,CLI0000188,Igor Ribeiro,Feminino,65+,4 a 8 SM,PE,Recife,Butantã,Loja Física,2024-08-30,1,True
189,CLI0000189,Juliana Carvalho,Masculino,18-24,8 a 12 SM,CE,Fortaleza,Lapa,App,2024-09-10,1,True
190,CLI0000190,Karina Gomes,Feminino,25-34,12 a 20 SM,SP,Santos,Liberdade,Site,2024-09-21,1,True
191,CLI0000191,Lucas Martins,Masculino,35-44,20+ SM,RJ,Ribeirão Preto,Saúde,WhatsApp,2024-10-02,1,True
192,CLI0000192,Mariana Rocha,Feminino,45-54,Até 2 SM,MG,São Paulo,Morumbi,Loja Física,2024-10-13,1,True
193,CLI0000193,Nicolas Dias,Masculino,55-64,2 a 4 SM,PR,Rio de Janeiro,Perdizes,App,2024-10-24,1,True
194,CLI0000194,Patrícia Araujo,Feminino,65+,4 a 8 SM,SC,Belo Horizonte,Bela Vista,Site,2024-11-04,1,True
195,CLI0000195,Rafael Barbosa,Masculino,65+,8 a 12 SM,RS,Campinas,Centro,WhatsApp,2024-11-15,1,True
196,CLI0000196,Sabrina Moura,Feminino,18-24,12 a 20 SM,BA,Curitiba,Jardins,Loja Física,2024-11-26,1,True
197,CLI0000197,Thiago Freitas,Masculino,25-34,20+ SM,GO,Porto Alegre,Moema,App,2024-12-07,1,True
198,CLI0000198,Vanessa Mendes,Feminino,35-44,Até 2 SM,PE,Salvador,Tatuapé,Site,2024-12-18,1,True
199,CLI0000199,William Teixeira,Masculino,45-54,2 a 4 SM,CE,Goiânia,Pinheiros,WhatsApp,2024-12-29,1,True
200,CLI0000200,Ana Silva,Feminino,55-64,4 a 8 SM,SP,Recife,Vila Mariana,Loja Física,2025-01-09,1,True
201,CLI0000201,Bruno Souza,Masculino,65+,8 a 12 SM,RJ,Fortaleza,Santana,App,2025-01-20,1,True
202,CLI0000202,Carlos Oliveira,Feminino,65+,12 a 20 SM,MG,Santos,Ipiranga,Site,2025-01-31,1,True
203,CLI0000203,Daniela Santos,Masculino,18-24,20+ SM,PR,Ribeirão Preto,Butantã,WhatsApp,2025-02-11,1,True
204,CLI0000204,Eduardo Pereira,Feminino,25-34,Até 2 SM,SC,São Paulo,Lapa,Loja Física,2025-02-22,1,True
205,CLI0000205,Fernanda Lima,Masculino,35-44,2 a 4 SM,RS,Rio de Janeiro,Liberdade,App,2025-03-05,1,True
206,CLI0000206,Gabriel Costa,Feminino,45-54,4 a 8 SM,BA,Belo Horizonte,Saúde,Site,2025-03-16,1,True
207,CLI0000207,Helena Almeida,Masculino,55-64,8 a 12 SM,GO,Campinas,Morumbi,WhatsApp,2025-03-27,0,0
208,CLI0000208,Igor Ribeiro,Feminino,65+,12 a 20 SM,PE,Curitiba,Perdizes,Loja Física,2025-04-07,1,True
209,CLI0000209,Juliana Carvalho,Masculino,65+,20+ SM,CE,Porto Alegre,Bela Vista,App,2025-04-18,1,True
